Compound_CID,Name,SMILES
139196303,"Caffeine:2,4dinitrobenzoicacid",CN1C=NC2=C1C(=O)N(C(=O)N2C)C.CN1C=NC2=C1C(=O)N(C(=O)N2C)C.C1=CC(=C(C=C1[N+](=O)[O-])[N+](=O)[O-])C(=O)O.C1=CC(=C(C=C1[N+](=O)[O-])[N+](=O)[O-])C(=O)O
139196307,MOnohydrate of caffeine-4HBA (1:1),CN1C=NC2=C1C(=O)N(C(=O)N2C)C.C1=CC(=CC=C1C(=O)O)O.O
139144351,"Caffeine:3,5-pyrazoledicarboxylic acid",CN1C=NC2=C1C(=O)N(C(=O)N2C)C.C1=C(NN=C1C(=O)O)C(=O)O
139144451,Caffeine:octafluoroadipic acid 2/1,CN1C=NC2=C1C(=O)N(C(=O)N2C)C.CN1C=NC2=C1C(=O)N(C(=O)N2C)C.C(=O)(C(C(C(C(C(=O)O)(F)F)(F)F)(F)F)(F)F)O
139204591,Zonisamide:Caffeine,CN1C=NC2=C1C(=O)N(C(=O)N2C)C.C1=CC=C2C(=C1)C(=NO2)CS(=O)(=O)N
64128,8-Caffeine-propionamide,CN1C(=NC2=C1C(=O)NC(=O)N2C)CCC(=O)N
25434,Caffeine:Theophylline cocrystal,CN1C=NC2=C1C(=O)N(C(=O)N2C)C.CN1C2=C(C(=O)N(C1=O)C)NC=N2
22995,"Caffeine, 8-((2-aminoethyl)thio)-, hydrochloride",C[NH+]1C2=C(N=C1SCCN)N(C(=O)N(C2=O)C)C.[Cl-]
444035,Migrenin,CC1=CC(=O)N(N1C)C2=CC=CC=C2.CN1C=NC2=C1C(=O)N(C(=O)N2C)C.C(C(=O)O)C(CC(=O)O)(C(=O)O)O
9561571,"Acetaldehyde, dichloro-, (1,3,7-trimethyl-8-xanthinyl)hydrazone",CN1C2=C(N=C1N/N=C/C(Cl)Cl)N(C(=O)N(C2=O)C)C
10241810,"1,3,7-Tris((13C)methyl)-3,7-dihydro-1H-purine-2,6-dione",[13CH3]N1C=NC2=C1C(=O)N(C(=O)N2[13CH3])[13CH3]
1326,Isocaffeine,CN1C=NC2=C1N(C(=O)N(C2=O)C)C
82070,"6-Amino-5-formamido-1,3-dimethyluracil",CN1C(=C(C(=O)N(C1=O)C)NC=O)N
13001304,"1,3,7-Tris((~2~H_3_)methyl)-3,7-dihydro-1H-purine-2,6-dione",[2H]C([2H])([2H])N1C=NC2=C1C(=O)N(C(=O)N2C([2H])([2H])[2H])C([2H])([2H])[2H]
4687,Paraxanthine,CN1C=NC2=C1C(=O)N(C(=O)N2)C
129318600,Caffeidine Nitrate,CNC1=C(N(C=N1)C)C(=O)NC.[N+](=O)(O)[O-]
159880,Caffeidine,CNC1=C(N(C=N1)C)C(=O)NC
936,Nicotinamide,C1=CC(=CN=C1)C(=O)N
24208736,"1,7-Dimethyl-3-(~13~C)methyl-3,7-dihydro-1H-purine-2,6-dione",CN1C=NC2=C1C(=O)N(C(=O)N2[13CH3])C
171371250,"2-(1,3-dimethyl-2,6,8-trioxo-9H-purin-7-yl)acetic acid",CN1C2=C(C(=O)N(C1=O)C)N(C(=O)N2)CC(=O)O
5429,Theobromine,CN1C=NC2=C1C(=O)NC(=O)N2C
52358,"1,3,7-Trimethyl-8-((4-methylcyclohexyl)oxy)-3,7-dihydro-1H-purine-2,6-dione",CC1CCC(CC1)OC2=NC3=C(N2C)C(=O)N(C(=O)N3C)C
24666,"Benzoic acid, 2-(acetyloxy)-, mixt. with 3,7-dihydro-1,3,7-trimethyl-1H-purine-2,6-dione and N-(4-ethoxyphenyl)acetamide",CCOC1=CC=C(C=C1)NC(=O)C.CC(=O)OC1=CC=CC=C1C(=O)O.CN1C=NC2=C1C(=O)N(C(=O)N2C)C
