,Compound_CID,Name,SMILES
84,66724051,1-(Phenylsulphinylmethyl)-3-methyl-7-(3-methyl-2-buten-1-yl)-8-[-3-(tert.-butyloxycarbonylamino)-piperidin-1-yl]-xanthine,CC(=CCN1C2=C(N=C1N3CCCC(C3)NC(=O)OC(C)(C)C)N(C(=O)N(C2=O)CS(=O)C4=CC=CC=C4)C)C
85,66724207,1-(Phenylsulphanylmethyl)-3-methyl-7-(3-methyl-2-buten-1-yl)-8-[-3-(tert.-butyloxycarbonylamino)-piperidin-1-yl]-xanthine,CC(=CCN1C2=C(N=C1N3CCCC(C3)NC(=O)OC(C)(C)C)N(C(=O)N(C2=O)CSC4=CC=CC=C4)C)C
86,171395290,"Xanthine-8-13C-7,9-15N2",[13CH]1=[15N]C2=C([15NH]1)C(=O)NC(=O)N2
87,547264,"Xanthine, 1,3-diethyl-8-[4-[[(diethylamino)ethyl]methylamino]carbonyl]",CCN1C2=C(C(=O)N(C1=O)CC)NC(=N2)C3=CC=C(C=C3)OCC(=O)N(C)CCN(C)C
88,541903,"Xanthin, 1,3-diallyl-8-[4-carboxymethoxypheny]-",C=CCN1C2=C(C(=O)N(C1=O)CC=C)NC(=N2)C3=CC=C(C=C3)OCC(=O)O
89,10247834,"(e)-1,3-Dipropyl-7-methyl-8-[2-(3-thienyl)ethenyl]xanthine",CCCN1C2=C(C(=O)N(C1=O)CCC)N(C(=N2)/C=C/C3=CSC=C3)C
90,10343476,"1,3-Di(cyclopropylmethyl)-8-(4-methoxybenzenesulphonylamino)xanthine",COC1=CC=C(C=C1)S(=O)(=O)NC2=NC3=C(N2)C(=O)N(C(=O)N3CC4CC4)CC5CC5
91,10349233,"1,3-Bis(cyclopropylmethyl)-8-bis[(4-nitrophenylsulfonyl)amino]xanthine",C1CC1CN2C3=C(C(=O)N(C2=O)CC4CC4)NC(=N3)N(S(=O)(=O)C5=CC=C(C=C5)[N+](=O)[O-])S(=O)(=O)C6=CC=C(C=C6)[N+](=O)[O-]
92,10347662,"1,3-Bis(cyclopropylmethyl)-8-bis[(phenylsulfonyl)amino]xanthine",C1CC1CN2C3=C(C(=O)N(C2=O)CC4CC4)NC(=N3)N(S(=O)(=O)C5=CC=CC=C5)S(=O)(=O)C6=CC=CC=C6
93,10367176,1-[(benzyloxycarbonyl)methyl]-3-methyl-7-(2-butyn-1-yl)-8-[(R)-3-amino-piperidin-1-yl]-xanthine,CC#CCN1C2=C(N=C1N3CCC[C@H](C3)N)N(C(=O)N(C2=O)CC(=O)OCC4=CC=CC=C4)C
94,53749731,"3,7-Dimethyl-1-propargyl-8-(3-chlorostyryl)xanthine",CN1C(=NC2=C1C(=O)N(C(=O)N2C)CC#C)C=CC3=CC(=CC=C3)Cl
95,54456943,"1,3-Diethyl-7-(5-oxohexyl)xanthine",CCN1C2=C(C(=O)N(C1=O)CC)N(C=N2)CCCCC(=O)C
96,2153,Theophylline,CN1C2=C(C(=O)N(C1=O)C)NC=N2
97,3182,Diprophylline,CN1C2=C(C(=O)N(C1=O)C)N(C=N2)CC(CO)O
98,2519,Caffeine,CN1C=NC2=C1C(=O)N(C(=O)N2C)C
99,66649236,"1-(2,3,5-Tri-O-benzoyl-beta-D-ribofuranosyl)xanthine",C1=CC=C(C=C1)C(=O)OC[C@@H]2[C@H]([C@H]([C@@H](O2)N3C(=O)C4=C(NC3=O)N=CN4)OC(=O)C5=CC=CC=C5)OC(=O)C6=CC=CC=C6
100,66724121,1-(2-Phenyl-ethyl)-7-(3-methyl-2-buten-1-yl)-8[3-(tert.-butyloxycarbonylamino)-piperidin-1-yl]-xanthine,CC(=CCN1C2=C(NC(=O)N(C2=O)CCC3=CC=CC=C3)N=C1N4CCCC(C4)NC(=O)OC(C)(C)C)C
101,66724237,1-(2-{3-[(Methoxycarbonyl)methoxy]-phenyl}-2-oxo-ethyl)-3-methyl-7-(3-methyl-2-buten-1-yl)-8-[3-(tert.-butyloxycarbonylamino)-piperidin-1-yl]-xanthine,CC(=CCN1C2=C(N=C1N3CCCC(C3)NC(=O)OC(C)(C)C)N(C(=O)N(C2=O)CC(=O)C4=CC(=CC=C4)OCC(=O)OC)C)C
102,2822888,1-Benzyl-3-(3-methoxyphenyl)xanthine,COC1=CC=CC(=C1)N2C3=C(C(=O)N(C2=O)CC4=CC=CC=C4)NC=N3
103,10264205,8-Methoxy isobutyl methyl xanthine,CC(C)CN1C2=C(C(=O)N(C1=O)C)NC(=N2)OC
104,18449416,3-[2-(4-Aminophenyl)ethyl]-8-benzyl-1-(3-dimethylaminopropyl)xanthine,CN(C)CCCN1C(=O)C2=C(N=C(N2)CC3=CC=CC=C3)N(C1=O)CCC4=CC=C(C=C4)N
105,57417586,8-[3-Amino-piperidin-1-yl]-xanthine,C1CC(CN(C1)C2=NC3=C(N2)C(=O)NC(=O)N3)N
106,72703824,"1-[(1,3-benzothiazol-2-yl)methyl]-3-methyl-7-(2-butyn-1-yl)-8-[(R)-3-amino-piperidin-1-yl]-xanthine",CC#CCN1C2=C(N=C1N3CCC[C@H](C3)N)N(C(=O)N(C2=O)CC4=NC5=CC=CC=C5S4)C
107,70131028,7-Benzyl-3-ethyl-1-(2-hydroxy-2-methylpropyl)-xanthine,CCN1C2=C(C(=O)N(C1=O)CC(C)(C)O)N(C=N2)CC3=CC=CC=C3
108,72703825,"1-[(5-fluoro-1,3-benzothiazol-2-yl)methyl]-3-methyl-7-(2-butyn-1-yl)-8-[(R)-3-amino-piperidin-1-yl]-xanthine",CC#CCN1C2=C(N=C1N3CCC[C@H](C3)N)N(C(=O)N(C2=O)CC4=NC5=C(S4)C=CC(=C5)F)C
109,3056831,"Xanthine, 8-(heptylthio)-",CCCCCCCSC1=NC2=C(N1)C(=O)NC(=O)N2
110,3071391,"Xanthine, 1,9-dimethyl-3-(2-hydroxyethyl)-",CN1C=NC2=C1N(C(=O)N(C2=O)C)CCO
